iso3,country,Year,QAI_NEXUS_INDEX,QAI_NEXUS_RANK
KWT,Kuwait,1991,0.6216364164563195,1
LIE,Liechtenstein,2023,0.5210669854908322,2
LIE,Liechtenstein,2020,0.5138353078794414,3
LIE,Liechtenstein,2017,0.5127413483956007,4
QAT,Qatar,2023,0.5125466244106316,5
LIE,Liechtenstein,2018,0.510928978566368,6
LIE,Liechtenstein,2022,0.5094608404976639,7
LIE,Liechtenstein,2019,0.5076385078892517,8
NOR,Norway,2023,0.5020510165580137,9
NOR,Norway,2022,0.5010289779481849,10
LIE,Liechtenstein,2016,0.4993447234668788,11
LIE,Liechtenstein,2007,0.4981672116301019,12
LIE,Liechtenstein,2008,0.4970775280275419,13
LIE,Liechtenstein,2021,0.4967743649254081,14
QAT,Qatar,2013,0.4947897153570444,15
QAT,Qatar,2012,0.494022327958518,16
SGP,Singapore,2023,0.4930997280248238,17
QAT,Qatar,2006,0.4903225057514356,18
AUS,Australia,2015,0.4895899730473462,19
LIE,Liechtenstein,2006,0.4885184730130915,20
