Country,HDI_2023,Innovation_Score_Mean
Iceland,0.972,50.26476983843136
Norway,0.97,47.84799706908433
Switzerland,0.97,55.79305108787536
Denmark,0.962,49.465616081635375
Germany,0.959,48.69159404158965
Sweden,0.959,59.49047591723814
Australia,0.958,43.23883736935714
Belgium,0.951,42.797642664462856
Ireland,0.949,46.81765102527736
Finland,0.948,53.49576592606934
Singapore,0.946,59.504877892866986
United Kingdom,0.946,50.58644563205938
United Arab Emirates,0.94,46.69527106147439
Canada,0.939,40.60884505071541
New Zealand,0.938,46.5786704526061
Slovenia,0.931,43.851387775980776
Austria,0.93,48.60977209628864
Japan,0.925,53.823544936453786
Malta,0.924,47.28730098973765
Luxembourg,0.922,41.66985364384539
France,0.92,44.86488493745471
Israel,0.919,51.19478786499816
Spain,0.918,42.921571385249685
Italy,0.915,41.29696345576019
Cyprus,0.913,47.1339154778933
Greece,0.908,32.88958882194639
Poland,0.906,37.46299852665495
Estonia,0.905,49.845651996868845
Saudi Arabia,0.9,28.548268789260604
Bahrain,0.899,36.9612089218108
Lithuania,0.895,38.17977354883008
Portugal,0.89,38.280107972211866
Croatia,0.889,36.101064673596845
Latvia,0.889,41.95690991803512
Qatar,0.886,39.41803191872362
Slovakia,0.88,38.85303364089416
Chile,0.878,37.158175734460514
Hungary,0.87,40.45750816984585
Argentina,0.865,29.42613941365754
Montenegro,0.862,38.59466929375428
Uruguay,0.862,33.928660345252446
Oman,0.858,37.48365514273899
Türkiye,0.853,35.92483901733404
Kuwait,0.852,32.32358131357589
Seychelles,0.848,31.764529642865792
Bulgaria,0.845,40.82095553541201
Romania,0.845,35.80052449850029
Georgia,0.844,35.69207140037204
Panama,0.839,25.90796423854654
Brunei Darussalam,0.837,35.101942514936184
Kazakhstan,0.837,25.90569904151459
Costa Rica,0.833,34.21401306529921
Serbia,0.833,33.93730095016747
Russian Federation,0.832,32.502688958958025
Belarus,0.824,32.01137510444231
Malaysia,0.819,45.58365966676481
North Macedonia,0.815,33.45698641165682
Armenia,0.811,33.646159946931625
Barbados,0.811,32.71926953037236
Albania,0.81,33.95724318016805
Trinidad and Tobago,0.807,25.43190858978506
Mauritius,0.806,33.144443460466526
Bosnia and Herzegovina,0.804,30.491383583084644
Iran (Islamic Republic of),0.799,29.720640963644865
Thailand,0.798,38.48201228427165
China,0.797,54.47355381769704
Peru,0.794,32.39050430535149
Azerbaijan,0.789,23.235189127743627
Mexico,0.789,30.01704114171628
Colombia,0.788,29.607318258238333
Brazil,0.786,29.957835874178617
Ukraine,0.779,31.840997466615416
Ecuador,0.777,22.099981669921853
Dominican Republic,0.776,26.77502978130917
Sri Lanka,0.776,28.41421941056916
Viet Nam,0.766,29.658554283537043
Algeria,0.763,22.863402162152187
Paraguay,0.756,30.08390691830324
Egypt,0.754,24.48924147382745
Jordan,0.754,30.17153823794301
Lebanon,0.752,29.858728711230377
Mongolia,0.747,38.41563190974339
Tunisia,0.746,31.791712530322872
South Africa,0.741,28.233945100663085
Uzbekistan,0.74,23.96418010059116
Bolivia (Plurinational State of),0.733,25.346641881588702
Botswana,0.731,26.42593871103362
Indonesia,0.728,28.46961579729248
Jamaica,0.72,25.93497536060084
Kyrgyzstan,0.72,29.72732204555704
Philippines,0.72,35.24300757078117
Morocco,0.71,31.729753253157178
Venezuela (Bolivarian Republic of),0.709,5.586215338739112
Nicaragua,0.706,21.608764509614115
Tajikistan,0.691,18.597830891705986
Bangladesh,0.685,17.951334292367694
India,0.685,34.88098714591669
El Salvador,0.678,24.85421051134651
Cabo Verde,0.668,25.544225962798944
Namibia,0.665,29.07929222854319
Guatemala,0.662,20.969394221253683
Congo,0.649,15.541172362914605
Honduras,0.645,23.64869927462875
Ghana,0.628,20.4494568840075
Kenya,0.628,18.24554357065116
Nepal,0.622,27.501053566922028
Lao People's Democratic Republic,0.617,22.8619945619398
Angola,0.616,13.310666511817429
Myanmar,0.609,23.683357107769183
Cambodia,0.606,25.564102610050533
Zimbabwe,0.598,14.371650102633415
Zambia,0.595,22.011281664306424
Cameroon,0.588,21.938127224735624
Côte d'Ivoire,0.582,22.23726219327533
Uganda,0.582,14.83372762886775
Rwanda,0.578,22.286747036952143
Togo,0.571,23.01736620507066
Mauritania,0.563,19.776862355727403
Nigeria,0.56,16.92803976801185
Lesotho,0.55,13.594640341914724
Pakistan,0.544,17.279310115424682
Senegal,0.53,27.43366096126777
Malawi,0.517,19.6605153344032
Benin,0.515,23.187886952722007
Guinea,0.5,14.917207400927122
Ethiopia,0.497,17.657235027908204
Mozambique,0.493,20.0554276403366
Madagascar,0.487,17.41442075107169
Burkina Faso,0.459,17.934116722898302
Burundi,0.439,19.39973958192268
Mali,0.419,22.10629140330996
Niger,0.419,14.515185749451629
