Country,HDI_2023,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_per_Capita,Year,ISO3,CO2_per_capita,Innovation_Score_Mean,Innovation_Best_Rank,generation_twh,generation_share_pct,generation_kwh_per_capita
Iceland,0.972,82.691,18.85058975,13.90892628,69116.93736,2023,ISL,9.052132,50.26476983843136,1.0,,,
Norway,0.97,83.308,18.79285049,13.11796218,112710.0211,2023,NOR,7.042548,47.84799706908433,1.0,,,
Switzerland,0.97,83.954,16.66753006,13.94912109,81948.90177,2023,CHE,3.604899,55.79305108787536,1.0,,,
Denmark,0.962,81.933,18.70401001,13.0273206,76007.85669,2023,DNK,4.8470974,49.465616081635375,1.0,,,
Germany,0.959,81.378,17.30921936,14.29637163,64053.22124,2023,DEU,7.022808,48.69159404158965,3.0,,,
Sweden,0.959,83.262,18.99147034,12.74032574,66102.08595,2023,SWE,3.4789953,59.49047591723814,1.0,,,
Australia,0.958,83.923,20.65477943,12.86999989,58276.87643,2023,AUS,14.529289,43.23883736935714,2.0,,,
"Hong Kong, China (SAR)",0.955,85.511,16.89586067,12.35000038,69435.75706,2023,,,,,,,
Netherlands,0.955,82.158,18.58485031,12.66994689,68344.30826,2023,NLD,6.4676642,,,,,
Belgium,0.951,82.115,18.99603081,12.68965045,63582.47535,2023,BEL,7.2316356,42.797642664462856,6.0,,,
Ireland,0.949,82.412,19.1848793,11.72499956,90884.63459,2023,IRL,6.4595604,46.81765102527736,1.0,,,
Finland,0.948,81.91,19.49408913,12.97962547,57067.63693,2023,FIN,5.6771917,53.49576592606934,1.0,,,
Singapore,0.946,83.736,16.74227905,11.98999977,111239.2291,2023,SGP,8.821352,59.504877892866986,1.0,,,
United Kingdom,0.946,81.302,17.81106949,13.48999977,54371.58634,2023,GBR,4.481841,50.58644563205938,6.0,,,
United Arab Emirates,0.94,82.909,15.60159016,12.98999977,71142.30475,2023,ARE,19.772913,46.69527106147439,1.0,,,
Canada,0.939,82.63,15.88825989,13.86999989,54688.41729,2023,CAN,13.880179,40.60884505071541,7.0,,,
Liechtenstein,0.938,83.63,15.41257954,12.40995938,166811.6741,2023,LIE,3.3118217,,,,,
New Zealand,0.938,82.088,19.30005074,12.88299807,47259.60137,2023,NZL,6.1010647,46.5786704526061,4.0,,,
United States,0.938,79.304,15.92300034,13.90999985,73650.03077,2023,USA,14.31945,,,,,
Korea (Republic of),0.937,84.329,16.6186409,12.72219869,49726.45327,2023,,,,,,,
Slovenia,0.931,81.603,17.47717094,12.95120192,46360.80779,2023,SVN,5.6704106,43.851387775980776,5.0,,,
Austria,0.93,81.956,16.28428078,12.36146506,63479.20843,2023,AUT,6.2328863,48.60977209628864,7.0,,,
Japan,0.925,84.712,15.51198006,12.68404671,47774.60973,2023,JPN,7.9352145,53.823544936453786,2.0,,,
Malta,0.924,83.299,15.90985012,12.4207021,52155.07487,2023,MLT,3.317301,47.28730098973765,1.0,,,
Luxembourg,0.922,82.229,14.35795021,12.58937195,85461.24833,2023,LUX,10.2852545,41.66985364384539,1.0,,,
France,0.92,83.325,16.09511948,11.7656677,55060.16038,2023,FRA,4.067842,44.86488493745471,9.0,,,
Israel,0.919,82.408,14.93416023,13.53459474,48050.11176,2023,ISR,5.9831605,51.19478786499816,1.0,,,
Spain,0.918,83.67,17.83031082,10.75612495,46008.44221,2023,ESP,4.4970493,42.921571385249685,7.0,,,
Czechia,0.915,79.834,16.7935009,12.96318214,45889.01401,2023,CZE,7.6997585,,,,,
Italy,0.915,83.716,16.71419907,10.82812827,52388.88306,2023,ITA,5.248631,41.29696345576019,2.0,,,
San Marino,0.915,85.706,14.59976717,11.35999966,64706.37558,2023,,,,,,,
Andorra,0.913,84.041,14.54279041,11.60999966,64631.0749,2023,AND,5.1700654,,,,,
Cyprus,0.913,81.648,16.21559906,12.5573721,45394.15625,2023,CYP,5.3443794,47.1339154778933,1.0,,,
Greece,0.908,81.857,20.84550095,11.55385642,35760.74915,2023,GRC,5.0755324,32.88958882194639,14.0,,,
Poland,0.906,78.633,16.67827988,13.20854242,42217.63778,2023,POL,7.307086,37.46299852665495,13.0,,,
Estonia,0.905,79.153,15.96786022,13.56216597,40880.93044,2023,EST,6.3957644,49.845651996868845,1.0,,,
Saudi Arabia,0.9,78.732,16.94943047,11.60642778,50298.91363,2023,SAU,20.36544,28.548268789260604,1.0,,,
Bahrain,0.899,81.284,15.92718983,11.13000011,52818.79538,2023,BHR,24.71003,36.9612089218108,1.0,,,
Lithuania,0.895,76.025,16.45467949,13.61069239,41916.46579,2023,LTU,4.3822517,38.17977354883008,5.0,,,
Portugal,0.89,82.36,17.48682022,9.703254412,41063.92568,2023,PRT,3.6068447,38.280107972211866,13.0,,,
Croatia,0.889,78.58,16.34815025,12.0951217,41379.89027,2023,HRV,4.740115,36.101064673596845,6.0,,,
Latvia,0.889,76.19,16.48265076,13.40943983,37997.82233,2023,LVA,3.5007896,41.95690991803512,5.0,,,
Qatar,0.886,82.368,13.14116001,10.77000046,105353.268,2023,QAT,40.127865,39.41803191872362,1.0,,,
Slovakia,0.88,78.341,14.94684982,13.10320397,36792.98874,2023,SVK,5.5755577,38.85303364089416,7.0,,,
Chile,0.878,81.167,16.91242027,11.29105394,28047.1698,2023,CHL,3.9475496,37.158175734460514,5.0,,,
Hungary,0.87,77.024,15.46940041,12.33162229,37236.07462,2023,HUN,4.164973,40.45750816984585,9.0,,,
Argentina,0.865,77.395,18.83120918,11.18458184,25876.05307,2023,ARG,3.9177263,29.42613941365754,14.0,,,
Montenegro,0.862,77.087,15.53652954,12.77392572,28026.3304,2023,MNE,3.7989702,38.59466929375428,4.0,,,
Uruguay,0.862,78.138,17.4839592,10.53999996,28649.82199,2023,URY,2.2511077,33.928660345252446,12.0,,,
Oman,0.858,80.031,13.43931961,11.89000034,36096.04123,2023,OMN,15.806381,37.48365514273899,12.0,,,
Türkiye,0.853,77.156,19.8307991,8.98624366,34506.98065,2023,,,35.92483901733404,4.0,,,
Kuwait,0.852,80.405,15.90424029,7.566007112,56612.04699,2023,KWT,25.454494,32.32358131357589,3.0,,,
Antigua and Barbuda,0.851,77.598,15.50299899,11.64750004,27386.51793,2023,ATG,6.863025,,,,,
Seychelles,0.848,72.862,18.22489929,11.19995,29195.03792,2023,SYC,5.0117536,31.764529642865792,12.0,,,
Bulgaria,0.845,75.636,15.3166399,11.45453092,32174.93003,2023,BGR,5.076801,40.82095553541201,1.0,,,
Romania,0.845,75.938,14.05288029,11.55000019,39374.25372,2023,ROU,3.54976,35.80052449850029,4.0,,,
Georgia,0.844,74.496,16.75470924,12.69999981,20752.57009,2023,GEO,3.1312468,35.69207140037204,4.0,,,
Saint Kitts and Nevis,0.84,72.145,18.40703011,10.8494008,29105.43743,2023,KNA,5.346964,,,,,
Panama,0.839,79.594,13.3116098,10.83375095,34384.56813,2023,PAN,2.9160857,25.90796423854654,56.0,,,
Brunei Darussalam,0.837,75.327,13.69861984,9.282,75826.87338,2023,,,35.101942514936184,3.0,,,
Kazakhstan,0.837,74.402,14.0086174,12.54717423,30988.52844,2023,KAZ,14.076408,25.90569904151459,8.0,,,
Costa Rica,0.833,80.799,16.34963687,8.844752499,23417.21315,2023,CRI,1.6594821,34.21401306529921,8.0,,,
Serbia,0.833,76.769,15.04216003,11.64171812,23114.80953,2023,SRB,6.334863,33.93730095016747,2.0,,,
Russian Federation,0.832,73.154,13.18515015,12.40999985,39221.68359,2023,,,32.502688958958025,9.0,,,
Belarus,0.824,74.434,13.71881008,12.33537298,26724.871,2023,BLR,6.1143074,32.01137510444231,3.0,,,
Bahamas,0.82,74.552,11.89137971,12.81441904,30974.68074,2023,BHS,7.4004436,,,,,
Malaysia,0.819,76.657,12.67639256,11.09000015,32553.09108,2023,MYS,7.8658104,45.58365966676481,1.0,,,
North Macedonia,0.815,77.395,14.78143978,10.22999954,22128.39461,2023,MKD,4.006106,33.45698641165682,8.0,,,
Armenia,0.811,75.683,14.3838501,11.34497821,20220.72319,2023,ARM,2.524371,33.646159946931625,8.0,,,
Barbados,0.811,76.178,16.6280018,9.92835689,17327.52047,2023,BRB,4.6635275,32.71926953037236,9.0,,,
Albania,0.81,79.602,14.51014996,10.17531099,17627.39404,2023,ALB,1.5710765,33.95724318016805,6.0,,,
Trinidad and Tobago,0.807,73.49,14.23764336,10.79275036,27000.14511,2023,TTO,23.644289,25.43190858978506,46.0,,,
Mauritius,0.806,74.926,14.16282114,10.10332754,27279.96011,2023,MUS,3.602115,33.144443460466526,1.0,,,
Bosnia and Herzegovina,0.804,77.85,13.16394043,10.97000027,19827.48588,2023,BIH,6.242028,30.491383583084644,13.0,,,
High human development,,,,,,2023,,,,,,,
Iran (Islamic Republic of),0.799,77.654,13.96833061,10.84671198,16095.77169,2023,,,29.720640963644865,2.0,,,
Saint Vincent and the Grenadines,0.798,71.23,16.2530213,11.29534968,17246.63609,2023,VCT,2.4296513,,,,,
Thailand,0.798,76.412,15.35883492,9.039999962,20569.90176,2023,THA,3.6921155,38.48201228427165,5.0,,,
China,0.797,77.953,15.4787495,8.036181597,22029.22253,2023,CHN,8.556261,54.47355381769704,1.0,,,
Peru,0.794,77.74,14.90939376,10.15465159,14338.70977,2023,PER,1.9519441,32.39050430535149,5.0,,,
Grenada,0.791,75.205,16.57728919,9.446399307,14349.02804,2023,GRD,3.0998428,,,,,
Azerbaijan,0.789,74.429,12.90977955,11.06999969,20667.95729,2023,AZE,4.142986,23.235189127743627,20.0,,,
