Country,Innovation_Score_Mean,Innovation_Best_Rank
Albania,33.95724318016805,6.0
Algeria,22.863402162152187,15.0
Angola,13.310666511817427,47.0
Argentina,29.42613941365754,14.0
Armenia,33.646159946931625,8.0
Australia,43.23883736935714,2.0
Austria,48.609772096288644,7.0
Azerbaijan,23.235189127743627,20.0
Bahrain,36.9612089218108,1.0
Bangladesh,17.951334292367694,11.0
Barbados,32.71926953037236,9.0
Belarus,32.01137510444231,3.0
Belgium,42.797642664462856,6.0
Benin,23.187886952722007,21.0
Bolivia (Plurinational State of),25.346641881588702,1.0
Bosnia and Herzegovina,30.491383583084644,13.0
Botswana,26.42593871103362,9.0
Brazil,29.957835874178617,9.0
Brunei Darussalam,35.101942514936184,3.0
Bulgaria,40.82095553541201,1.0
Burkina Faso,17.934116722898302,17.0
Burundi,19.399739581922674,2.0
Cabo Verde,25.544225962798944,28.0
Cambodia,25.564102610050533,1.0
Cameroon,21.938127224735624,17.0
Canada,40.60884505071541,7.0
Chile,37.158175734460514,5.0
China,54.47355381769704,1.0
Colombia,29.607318258238333,13.0
Congo,15.541172362914605,56.0
Costa Rica,34.21401306529921,8.0
Croatia,36.101064673596845,6.0
Cyprus,47.1339154778933,1.0
Czech Republic,47.005782187738355,1.0
Côte d'Ivoire,22.23726219327533,70.0
Denmark,49.465616081635375,1.0
Dominican Republic,26.775029781309172,10.0
Ecuador,22.099981669921853,38.0
Egypt,24.489241473827455,41.0
El Salvador,24.85421051134651,15.0
Estonia,49.845651996868845,1.0
Ethiopia,17.657235027908204,16.0
Finland,53.49576592606934,1.0
France,44.86488493745471,9.0
Georgia,35.69207140037204,4.0
Germany,48.69159404158965,3.0
Ghana,20.4494568840075,9.0
Greece,32.88958882194639,14.0
Guatemala,20.969394221253683,18.0
Guinea,14.917207400927122,32.0
Honduras,23.64869927462875,37.0
"Hong Kong, China",58.75990998203476,1.0
Hungary,40.45750816984585,9.0
Iceland,50.26476983843136,1.0
India,34.88098714591669,1.0
Indonesia,28.469615797292477,17.0
Iran (Islamic Republic of),29.720640963644865,2.0
Ireland,46.817651025277364,1.0
Israel,51.19478786499816,1.0
Italy,41.29696345576019,2.0
Jamaica,25.93497536060084,13.0
Japan,53.823544936453786,2.0
Jordan,30.171538237943015,14.0
Kazakhstan,25.90569904151459,8.0
Kenya,18.24554357065116,19.0
Kuwait,32.32358131357589,3.0
Kyrgyzstan,29.72732204555704,5.0
Lao People's Democratic Republic,22.8619945619398,11.0
Latvia,41.95690991803512,5.0
Lebanon,29.858728711230377,1.0
Lesotho,13.594640341914724,85.0
Lithuania,38.17977354883008,5.0
Luxembourg,41.66985364384539,1.0
Madagascar,17.41442075107169,17.0
Malawi,19.6605153344032,15.0
Malaysia,45.58365966676481,1.0
Mali,22.106291403309957,22.0
Malta,47.28730098973765,1.0
Mauritania,19.776862355727403,9.0
Mauritius,33.144443460466526,1.0
Mexico,30.017041141716273,6.0
Mongolia,38.41563190974339,3.0
Montenegro,38.59466929375428,4.0
Morocco,31.729753253157178,6.0
Mozambique,20.055427640336596,1.0
Myanmar,23.683357107769186,19.0
Namibia,29.07929222854319,10.0
Nepal,27.501053566922028,1.0
Netherlands (Kingdom of the),50.842041563365086,3.0
New Zealand,46.578670452606104,4.0
Nicaragua,21.608764509614115,15.0
Niger,14.515185749451627,26.0
Nigeria,16.92803976801185,8.0
North Macedonia,33.45698641165682,8.0
Norway,47.84799706908433,1.0
Oman,37.48365514273899,12.0
Pakistan,17.279310115424682,18.0
Panama,25.90796423854654,56.0
Paraguay,30.083906918303242,2.0
Peru,32.39050430535149,5.0
Philippines,35.24300757078117,1.0
Poland,37.46299852665495,13.0
Portugal,38.280107972211866,13.0
Qatar,39.41803191872362,1.0
Republic of Korea,58.742600850839324,1.0
Republic of Moldova,33.76654427624542,4.0
Romania,35.80052449850029,4.0
Russian Federation,32.502688958958025,9.0
Rwanda,22.286747036952146,26.0
Saudi Arabia,28.548268789260604,1.0
Senegal,27.43366096126777,8.0
Serbia,33.93730095016747,2.0
Seychelles,31.764529642865792,12.0
Singapore,59.504877892866986,1.0
Slovakia,38.853033640894154,7.0
Slovenia,43.851387775980776,5.0
South Africa,28.233945100663085,18.0
Spain,42.921571385249685,7.0
Sri Lanka,28.414219410569157,24.0
Sweden,59.49047591723814,1.0
Switzerland,55.79305108787536,1.0
Tajikistan,18.597830891705986,5.0
Thailand,38.482012284271654,5.0
Togo,23.01736620507066,4.0
Trinidad and Tobago,25.43190858978506,46.0
Tunisia,31.791712530322872,2.0
Türkiye,35.92483901733404,4.0
Uganda,14.83372762886775,25.0
Ukraine,31.840997466615416,1.0
United Arab Emirates,46.695271061474386,1.0
United Kingdom,50.58644563205938,6.0
United Republic of Tanzania,21.127928215427684,30.0
United States of America,49.84723094285213,4.0
Uruguay,33.928660345252446,12.0
Uzbekistan,23.964180100591154,14.0
Venezuela (Bolivarian Republic of),5.586215338739112,49.0
Viet Nam,29.658554283537043,27.0
Zambia,22.011281664306424,8.0
Zimbabwe,14.371650102633417,44.0
